Dia;Quejas
23/12/2018;0
24/12/2018;2
25/12/2018;0
26/12/2018;13
27/12/2018;7
28/12/2018;1
29/12/2018;1
30/12/2018;0
31/12/2018;0
01/01/2019;0
02/01/2019;2
03/01/2019;4
04/01/2019;3
05/01/2019;2
06/01/2019;0
07/01/2019;0
08/01/2019;1
09/01/2019;4
10/01/2019;5
11/01/2019;1
12/01/2019;0
13/01/2019;1
14/01/2019;5
15/01/2019;7
16/01/2019;5
17/01/2019;6
18/01/2019;5
19/01/2019;1
20/01/2019;0
21/01/2019;7
22/01/2019;9
23/01/2019;13
24/01/2019;5
25/01/2019;7
26/01/2019;1
27/01/2019;0
28/01/2019;7
29/01/2019;6
30/01/2019;3
31/01/2019;1
01/02/2019;7
02/02/2019;0
03/02/2019;1
04/02/2019;5
05/02/2019;5
06/02/2019;9
07/02/2019;5
08/02/2019;4
09/02/2019;0
10/02/2019;0
11/02/2019;10
12/02/2019;13
13/02/2019;6
14/02/2019;7
15/02/2019;7
16/02/2019;1
17/02/2019;0
18/02/2019;9
19/02/2019;6
20/02/2019;13
21/02/2019;5
22/02/2019;10
23/02/2019;0
24/02/2019;0
25/02/2019;7
26/02/2019;9
27/02/2019;7
28/02/2019;8
01/03/2019;8
02/03/2019;0
03/03/2019;0
04/03/2019;5
05/03/2019;8
06/03/2019;8
07/03/2019;8
08/03/2019;10
09/03/2019;1
10/03/2019;1
11/03/2019;9
12/03/2019;13
13/03/2019;2
14/03/2019;10
15/03/2019;4
16/03/2019;0
17/03/2019;0
18/03/2019;17
19/03/2019;11
20/03/2019;9
21/03/2019;7
22/03/2019;9
23/03/2019;2
24/03/2019;0
25/03/2019;1
26/03/2019;11
27/03/2019;9
28/03/2019;7
29/03/2019;4
30/03/2019;1
31/03/2019;0
01/04/2019;6
02/04/2019;8
03/04/2019;6
04/04/2019;9
05/04/2019;12
06/04/2019;0
07/04/2019;0
08/04/2019;6
09/04/2019;10
10/04/2019;11
11/04/2019;12
12/04/2019;9
13/04/2019;1
14/04/2019;0
15/04/2019;6
16/04/2019;6
17/04/2019;3
18/04/2019;0
20/04/2019;0
21/04/2019;0
22/04/2019;4
23/04/2019;2
24/04/2019;5
25/04/2019;12
26/04/2019;5
27/04/2019;0
28/04/2019;0
29/04/2019;13
30/04/2019;8
01/05/2019;0
02/05/2019;9
03/05/2019;12
04/05/2019;1
05/05/2019;0
06/05/2019;8
07/05/2019;9
08/05/2019;7
09/05/2019;5
10/05/2019;5
11/05/2019;1
12/05/2019;0
13/05/2019;11
14/05/2019;12
15/05/2019;6
16/05/2019;8
17/05/2019;5
18/05/2019;0
19/05/2019;0
20/05/2019;7
21/05/2019;5
22/05/2019;9
23/05/2019;8
24/05/2019;7
25/05/2019;4
26/05/2019;0
27/05/2019;13
28/05/2019;6
29/05/2019;8
30/05/2019;10
31/05/2019;3
01/06/2019;0
02/06/2019;0
03/06/2019;0
04/06/2019;14
05/06/2019;8
06/06/2019;11
07/06/2019;15
08/06/2019;2
09/06/2019;0
10/06/2019;9
11/06/2019;3
12/06/2019;4
13/06/2019;11
14/06/2019;5
15/06/2019;0
16/06/2019;0
17/06/2019;4
18/06/2019;5
19/06/2019;10
20/06/2019;12
21/06/2019;8
22/06/2019;0
23/06/2019;1
24/06/2019;1
25/06/2019;12
26/06/2019;10
27/06/2019;13
28/06/2019;4
29/06/2019;0
30/06/2019;0
01/07/2019;0
02/07/2019;4
03/07/2019;11
04/07/2019;5
05/07/2019;10
06/07/2019;0
07/07/2019;0
08/07/2019;9
09/07/2019;9
10/07/2019;3
11/07/2019;4
12/07/2019;7
13/07/2019;0
14/07/2019;0
15/07/2019;6
16/07/2019;4
17/07/2019;10
18/07/2019;10
19/07/2019;8
20/07/2019;2
21/07/2019;0
22/07/2019;5
23/07/2019;9
24/07/2019;8
25/07/2019;11
26/07/2019;12
27/07/2019;3
28/07/2019;1
29/07/2019;10
30/07/2019;5
31/07/2019;11
01/08/2019;10
02/08/2019;4
03/08/2019;1
04/08/2019;0
05/08/2019;11
06/08/2019;5
07/08/2019;0
08/08/2019;7
09/08/2019;11
10/08/2019;0
11/08/2019;0
12/08/2019;15
13/08/2019;8
14/08/2019;10
15/08/2019;9
16/08/2019;8
17/08/2019;1
18/08/2019;0
19/08/2019;0
20/08/2019;7
21/08/2019;6
22/08/2019;4
23/08/2019;7
24/08/2019;0
25/08/2019;0
26/08/2019;11
27/08/2019;8
28/08/2019;7
29/08/2019;4
30/08/2019;9
31/08/2019;0
01/09/2019;1
02/09/2019;4
03/09/2019;6
04/09/2019;7
05/09/2019;3
06/09/2019;7
07/09/2019;1
08/09/2019;1
09/09/2019;13
10/09/2019;7
11/09/2019;14
12/09/2019;8
13/09/2019;11
14/09/2019;0
15/09/2019;0
16/09/2019;7
17/09/2019;12
18/09/2019;12
19/09/2019;9
20/09/2019;13
21/09/2019;2
22/09/2019;0
23/09/2019;10
24/09/2019;14
25/09/2019;6
26/09/2019;7
27/09/2019;5
28/09/2019;0
29/09/2019;0
30/09/2019;7
01/10/2019;18
02/10/2019;13
03/10/2019;3
04/10/2019;9
05/10/2019;0
06/10/2019;0
07/10/2019;8
08/10/2019;15
09/10/2019;6
10/10/2019;13
11/10/2019;11
12/10/2019;2
13/10/2019;0
14/10/2019;0
